oute,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Ruby,"Tasty Pancho > First Gully Boulders > San Francisco Peak's > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/113836449/ruby,4.0,-1,Boulder,V4,1,35,35.30312,-111.70367
"The Center Pinche","The Center Pinche Area > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106972903/the-center-pinche,4.0,-1,Boulder,V5,1,20,35.0665,-112.0517
"Space Lord","Layback Rock > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/107041389/space-lord,3.6,-1,Boulder,"V2 PG13",1,20,34.46733,-112.43804
"The Yoker","Parking Area Bouldering > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106158129/the-yoker,3.0,-1,Boulder,V4,1,15,35.08201,-111.6004
"New Moon","Moonstone, Leg Lock Rock, Bolt Rock Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/111842678/new-moon,4.0,-1,Boulder,V10,1,10,34.46766,-112.43789
"Syphilis Traverse","The Canyon Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106608159/syphilis-traverse,3.6,-1,Boulder,V4-5,1,,34.47058,-112.43789
"Big Arete","Second Area > Grasshopper Point Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106562950/big-arete,3.6,-1,Boulder,V4,1,16,34.88725,-111.7311
"The Tongue","Entrance Boulders > Pima Canyon Area > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/106672230/the-tongue,2.7,-1,Boulder,V2,1,,33.35761,-112.00958
"Nopinyon Arete","Pillar Boulder > The Anvil Boulders > *Sedona Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107382016/nopinyon-arete,4.0,-1,Boulder,V3,1,20,34.87241,-111.75363
"The Slab","Donkey Punch Area > East Kelly Canyon > Kelly Canyon > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106272781/the-slab,3.2,-1,Boulder,V6,1,15,35.0655,-111.6959
